"title","link","image","director","country","year","description"
"ABC Africa","https://www.criterionchannel.com/abc-africa","https://vhx.imgix.net/criterionchannelchartersu/assets/15942fe1-8ad9-4604-b3b2-6a40cd9c82bd.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Abbas Kiarostami","Iran,","2001","Directed by Abbas Kiarostami • 2001 • Iran
Starring Abbas Kiarostami, Seifollah Samadian

In 2000, Abbas Kiarostami traveled to Africa at the request of the United Nations to document a humanitarian crisis unfolding in Uganda, where 1.5 million children had been orphaned by civil war and AIDS. Working outside of Iran and shooting on digital video for the first time, he returned with this disarmingly hopeful look at a country where death hovers ever-present, yet life—embodied by the playful spirit of the kids who peer curiously into his camera’s searching, humane lens—flows on undiminished. Part idiosyncratic travelogue, part ode to childhood wonder, ABC AFRICA is quintessential Kiarostami in its movingly philosophical reflection on human resilience in the face of adversity."
"Abigail’s Party","https://www.criterionchannel.com/abigail-s-party","https://vhx.imgix.net/criterionchannelchartersu/assets/6c79f068-b92a-43ac-9ba6-8e0ce36ca0c9.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Mike Leigh","United Kingdom,","1977","Directed by Mike Leigh • 1977 • United Kingdom
Starring Alison Steadman, Tim Stern, Janine Duvitski

Mike Leigh’s filmed version of his acclaimed stage play is a brilliantly biting comedy of manners that lays bare the bourgeois affectations and sexual frustrations of a young suburban couple. Abigail’s mother, Sue (Harriet Reynolds), is invited to take refuge from her teenage daughter’s party by a neighboring couple, Beverly (Alison Steadman) and Laurence (Tim Stern). They have also invited Angela (Janine Duvitski) and Tony (John Salthouse), new arrivals on the street. As Beverly plies her guests with alcohol, Sue becomes increasingly withdrawn and embarrassed by the pretentious goings-on—with marital tensions gradually revealing the cracks in the delusional facade."
"About Dry Grasses","https://www.criterionchannel.com/about-dry-grasses","https://vhx.imgix.net/criterionchannelchartersu/assets/824fc454-835c-4b66-82a7-56021520f7f7.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Nuri Bilge Ceylan","Turkey,","2023","Directed by Nuri Bilge Ceylan • 2023 • Turkey
Starring Deniz Celiloğlu, Merve Dizdar, Musab Ekici

Nestled away in wintry East Anatolia, public-school art teacher Samet (Deniz Celiloğlu) yearns to leave the sleepy village for cosmopolitan Istanbul. Further disenchanted when he and Kenan (Musab Ekici), a colleague, come under public scrutiny, Samet fears circumstances will keep him in Anatolia and his dreams of a new life permanently out of reach. A silver lining is a budding relationship with Nuray (Merve Dizdar), a fellow teacher and firebrand who develops connections with both Samet and Kenan, forcing Samet to confront what he can&#39;t readily accept. Renowned for his nuanced, visually ravishing imagery, award-winning director Nuri Bilge Ceylan (ONCE UPON A TIME IN ANATOLIA, WINTER SLEEP) capstones the film with one of his greatest sequences, a dazzling metacinematic climax featuring an entrancing performance from Dizdar, who took home Best Actress at the 2023 Cannes Film Festival.

“Ceylan [is] the living reigning master of Turkish cinema.”
—Alissa Wilkinson, The New York Times (Critic’s Pick)

“Epic . . . Absorbing . . . One of the year’s most visually and intellectually immersive films . . . Featuring superb performances by Deniz Celiloğlu and an electric Merve Dizdar.”
—Justin Chang, Los Angeles Times
 
“Mesmerizing . . . One of the best films of the year.”
—Bilge Ebiri, New York Magazine"
"About Extra Hours and Volunteer Work","https://www.criterionchannel.com/about-extra-hours-and-volunteer-work","https://vhx.imgix.net/criterionchannelchartersu/assets/879da19d-c2cc-4aec-b34a-76c160dfe8be.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Sara Gómez","Cuba,","1973","Directed by Sara Gómez • 1973 • Cuba

Cuban textile workers offer their thoughts on the policy of unpaid overtime and volunteer work."
"About Tap","https://www.criterionchannel.com/about-tap","https://vhx.imgix.net/criterionchannelchartersu/assets/265208c0-fc6b-4698-9127-f7ac84dc4965.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","George T. Nierenberg","United States,","1985","Directed by George T. Nierenberg • 1985 • United States

George T. Nierenberg’s brilliant and blissful followup to NO MAPS ON MY TAPS is introduced by legendary dancer Gregory Hines, who shares his childhood memories of watching and imitating the tap-dance greats at the Apollo Theater. ABOUT TAP features performances by and recollections from three of America’s leading male tap dancers: Steve Condos, Jimmy Slyde, and Chuck Green. Condos thinks of himself as an instrumentalist who focuses on the ankles and feet; Jimmy Slyde talks of “visual dancers” who “all make pictures”; and Chuck Green advises using the balletic port de bras technique. Each dancer provides his personal answer to the question, “How does an artist discover their own individual style?”"
"The Above","https://www.criterionchannel.com/the-above","https://vhx.imgix.net/criterionchannelchartersu/assets/31f87685-3e6f-438f-9f2d-63238af8eaae.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Kirsten Johnson","Russia,","2015","Directed by Kirsten Johnson • 2015 • United States

This 2015 short film by Kirsten Johnson was commissioned by Field of Vision, a filmmaker-driven visual journalism unit that pairs directors with developing stories around the globe. In THE ABOVE, a U.S. military surveillance balloon floats on a tether high about Kabul, Afghanistan. Its capacities are highly classified and deeply mysterious."
"Les abysses","https://www.criterionchannel.com/les-abysses","https://vhx.imgix.net/criterionchannelchartersu/assets/0c0ab2df-eef0-4d73-aa74-76e748cf3933-aee87163.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Nico Papatakis","France,","1963","Directed by Nico Papatakis • 1963 • France
Starring Francine Bergé, Colette Bergé, Pascale de Boysson

Inspired by the notorious case of Christine and Léa Papin—French sisters working as maids who murdered their employer’s wife and daughter in 1933—Nico Papatakis’s debut feature was a succès de scandale that was boycotted by Cannes’s selection committee in 1963. A furiously anarchic, expressionistically heightened dissection of class relations, LES ABYSSES unfolds in a country home where domestic servants Michèle and Marie-Louise (played by real-life sisters Francine and Colette Bergé) are cruelly exploited by the family they work for. When their abusive employers push them too far, it provokes a shocking rebellion that doubles as a provocative metaphor for Algerian resistance against French colonialism."
"Accattone","https://www.criterionchannel.com/accattone","https://vhx.imgix.net/criterionchannelchartersu/assets/7c7b055e-f87e-4eb5-8881-70921da7fa80.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Pier Paolo Pasolini","Italy,","1961","Directed by Pier Paolo Pasolini • 1961 • Italy
Starring Franco Citti, Franca Pasut, Silvana Corsini

Poet and painter turned filmmaker Pier Paolo Pasolini courted controversy with his very first feature by using Catholic iconography and liturgical music to render a plaintive, brutally beautiful portrait of a shiftless Roman pimp and thief (then-nonprofessional Franco Citti, in a revelatory performance) whose life of petty crime turns increasingly desperate when the woman who supports him is imprisoned. Melding a hardscrabble neorealist milieu with classical influences, Pasolini offers a vision of underclass struggle as a kind of modern sainthood."
"An Accidental Studio","https://www.criterionchannel.com/an-accidental-studio","https://vhx.imgix.net/criterionchannelchartersu/assets/d16b6c4b-2dd0-44d4-bed5-fcb64bcc691f.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Bill Jones, Kim Leggatt, and Ben Timlett","United Kingdom,","2019","Directed by Bill Jones, Kim Leggatt, and Ben Timlett • 2019 • United Kingdom
Starring Michael Palin, Terry Gilliam, George Harrison

This heartfelt tribute to the little studio that could charts the unlikely rise of HandMade Films—the independent producer/distributor that revitalized the 1980s British film industry with its idiosyncratic, auteur-driven ethos—through the eyes of filmmakers, key personnel, and the man who started it all: former Beatle George Harrison. Through unseen archival footage of Harrison and interviews with the artists he championed like Terry Gilliam and Bob Hoskins, AN ACCIDENTAL STUDIO explores HandMade’s baptism by fire, the risks it took in producing uniquely crafted and intelligent films, and the stories that grew up around it."
"Accomplice","https://www.criterionchannel.com/accomplice","https://vhx.imgix.net/criterionchannelchartersu/assets/3884b384-badd-470f-979f-f4d3e6d8c657.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Hal Hartley","United States,","2010","Directed by Hal Hartley • 2010 • United States
Starring Jordana Maurer, Jean-Luc Godard, D. J. Mendel

An artist-criminal far from home asks his assistant to pirate a rare videotape before the German Post Office Authorities come to confiscate it."
"ACERA, or the Witches’ Dance","https://www.criterionchannel.com/acera-or-the-witches-dance","https://vhx.imgix.net/criterionchannelchartersu/assets/a785c93d-dd7c-4a2b-8ebb-a63655a25712-2c4fed53.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Jean Painlevé","France,","1972","Directed by Jean Painlevé • 1972 • France

The lives of miniscule mollusks are intimately captured as they wallow in mud, mate and give birth. Director Jean Painlevé sublimely sets their dance like movements to music."
"A Chinese Ghost Story III","https://www.criterionchannel.com/a-chinese-ghost-story-iii","https://vhx.imgix.net/criterionchannelchartersu/assets/58538697-6ad7-47ef-8a0b-8a7fe62761e3.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Tony Ching Siu-Tung","Hong Kong,","1991","Directed by Ching Siu-tung • 1991 • Hong Kong
Starring Tony Leung Chiu-wai, Jacky Cheung, Joey Wong

The dazzlingly imaginative A CHINESE GHOST STORY trilogy concludes with this sumptuous finale. In many ways a retelling of the original film’s story, A CHINESE GHOST STORY III sees Joey Wang reprising her role from the 1987 classic as a captivating supernatural spirit. A hundred years after the events of the first film, the demon who held the beautiful ghost under its spell has reawakened to reclaim her."
"An Actor’s Revenge","https://www.criterionchannel.com/an-actor-s-revenge","https://vhx.imgix.net/criterionchannelchartersu/assets/06ac85d6-872b-48d5-9924-e588c4a93830.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Kon Ichikawa","Japan,","1963","Directed by Kon Ichikawa • 1963 • Japan

A kabuki actor who only plays female characters encounters the three men who drove his parents to suicide and plans his revenge."
"Ådalen 31","https://www.criterionchannel.com/adalen-31","https://vhx.imgix.net/criterionchannelchartersu/assets/b0175985-a63b-4f00-a8c4-d96bde845d0c.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Bo Widerberg","Sweden,","1969","Directed by Bo Widerberg • 1969 • Sweden
Starring Peter Schildt, Kerstin Tidelius, Roland Hedlund

One of Bo Widerberg’s most explicitly political works imbues the true story of a 1931 labor strike with a powerful contemporary resonance. In the industrial district of Ådalen, in the north of Sweden, a peaceful demonstration takes a tragic turn, leading to a historic general strike. Amid these events, the teenage Kjell (Peter Schildt) experiences sacrifice and strife, love and loss, and the consequences of this shocking violence. Working once again with ELVIRA MADIGAN cinematographer Jörgen Persson—who captures shimmering, light-filled images in graceful widescreen—Widerberg entwines a stirring portrait of resistance with an intimate coming-of-age journey for a vision of history that feels vibrantly, urgently alive."
"Adelheid","https://www.criterionchannel.com/adelheid","https://vhx.imgix.net/criterionchannelchartersu/assets/68635d68-9809-4436-8fad-6e193f98d3a0.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","František Vláčil","Czechoslovakia,","1970","Directed by František Vláčil • 1970 • Czechoslovakia
Starring Petr Čepek, Emma Černá, Jan Vostrčil

One of director František Vláčil’s most renowned works, this searing romantic tragedy considers questions of national trauma through a powerful human love story. In the aftermath of World War II, former soldier Viktor (Petr Čepek) is put in charge of an estate previously owned by a Nazi war criminal whose daughter, Adelheid (Emma Černá), is now forced to work there as a maid. Gradually, Viktor and Adelheid are drawn together in a complex relationship that forces them both to confront issues of power, moral responsibility, and the weight of history."
"Adieu Bonaparte","https://www.criterionchannel.com/adieu-bonaparte","https://vhx.imgix.net/criterionchannelchartersu/assets/bff23d85-b237-45b2-a14d-87bc4d9312b7.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Youssef Chahine","Egypt,","1985","Directed by Youssef Chahine • 1985 • Egypt                                                                                                               
Starring Michel Piccoli, Mohsen Mohieddin, Mohamed Atef

Youssef Chahine’s rich and nuanced exploration of culture clash and connection centers on Napoleon’s occupation of Egypt at the turn of the nineteenth century and the complex relationship that develops between two Arab brothers (Mohsen Mohieddin and Mohamad Atef) and the gay French general Cafarelli (Michel Piccoli, playing one of many fascinating queer characters populating Chahine’s films). Featuring stunning cinematography and a striking performance from Patrice Chéreau as Napoleon, ADIEU BONAPARTE balances historical and political sweep with a very human exploration of the emotional, sexual, and intellectual dimensions of colonialism."
"Adieu Philippine","https://www.criterionchannel.com/adieu-philippine","https://vhx.imgix.net/criterionchannelchartersu/assets/1b83bbe5-2035-47ae-bb40-4a0658f30167.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Jacques Rozier and Jacques Rozier","France,","1962","Directed by Jacques Rozier • 1962 • France
Starring Jean-Claude Aimini, Daniel Descamps, Stefania Sabatini

In his bold yet playful feature debut—an overlooked gem of the French New Wave—Jacques Rozier satirizes several major cultural currents of early-sixties France: political myopia, romantic escapism, and commercial corruption. Young Michel (Jean-Claude Aimini) works as a camera technician for a television studio, where he meets two would-be actresses, Liliane (Yveline Céry) and Juliette (Stefania Sabatini). The duo’s demeaning work in advertising allows them to connect Michel with an unscrupulous director (Vittorio Caprioli), who subsequently stiffs him on a job. Fed up with their exploitative industry, Michel, Liliane, and Juliette head to Corsica for a holiday—and to track down the director—all while a developing love triangle strains the girls’ friendship. With confidence and panache, Rozier expertly employs documentary-style shooting, improvisational acting (among a mostly nonprofessional cast), and kinetic montage sequences to capture the disparity between blithe youth and the societal pressures—especially Michel’s imminent military service in Algeria—that threaten its innocence."
"The Adjuster","https://www.criterionchannel.com/the-adjuster","https://vhx.imgix.net/criterionchannelchartersu/assets/c1228567-0b06-4174-af31-4a6ec0ec7af0.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Atom Egoyan","Canada,","1991","Directed by Atom Egoyan • 1991 • Canada
Starring Elias Koteas, Arsinée Khanjian, Maury Chaykin

Noah Render (Elias Koteas) is an insurance claims adjuster who attends to his clients’ every need—including their sexual ones. His wife, Hera (Arsinée Khanjian), is a government censor who spends her days and nights obsessively watching pornography for both work and pleasure. When they become involved with Bubba (Maury Chaykin) and Mimi (Gabrielle Rose), a wealthy couple with a taste for kinky role-playing, the Renders’ lives are turned upside down in this surreal puzzle from Atom Egoyan."
"Adoption","https://www.criterionchannel.com/adoption","https://vhx.imgix.net/criterionchannelchartersu/assets/5d2503fd-6039-40e2-abfe-82e5f29063fe.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Márta Mészáros","Hungary,","1975","Directed by Márta Mészáros • 1975 • Hungary
Starring Katalin Berek, Gyöngyvér Vígh, László Szabó

Trailblazing auteur Márta Mészáros gives aching expression to the experiences of women in 1970s Hungary in this sensitive and absorbing drama, which became the first film directed by a woman to win the Golden Bear at the Berlin Film Festival. Through intimate camera work, ADOPTION immerses the viewer in the worlds of two women, each searching for fulfillment: Kata (Katalin Berek), a middle-aged factory worker who wants to have a child with her married lover, and Anna (Gyöngyvér Vígh), a teenage ward of the state determined to emancipate herself in order to marry her boyfriend. The bond that forms between the two speaks quietly but powerfully to the social and political forces that shape women’s lives, as each navigates the realities of love, marriage, and motherhood in her quest for self-determination."
"Adventure","https://www.criterionchannel.com/adventure","https://vhx.imgix.net/criterionchannelchartersu/assets/10f6223a-b246-4d85-aa25-47c8f1cf04d9.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Hal Hartley and Hal Hartley","United States,","2010","Directed by Hal Hartley • 2010 • United States
Starring Hal Hartley, Miho Nikaido

Hal Hartley and his wife, actor Miho Nikaido, travel to Japan to see her parents and reflect on twelve years of marriage, her career ambitions, and the adventures of growing older."
"Adventures of a Dentist","https://www.criterionchannel.com/adventures-of-a-dentist","https://vhx.imgix.net/criterionchannelchartersu/assets/01156c28-6bc4-4e94-ba44-3316323b0946.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Elem Klimov","Soviet Union,","1965","Directed by Elem Klimov • 1965 • Soviet Union

This Russian dark comedy follows a supremely gifted dentist who is ridiculed and completely ostracized by his colleagues."
"The Adventures of Prince Achmed","https://www.criterionchannel.com/the-adventures-of-prince-achmed","https://vhx.imgix.net/criterionchannelchartersu/assets/8dc1f345-b44c-4435-b44f-cd65e6c479a5-ec06e332.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Lotte Reiniger","Germany,","1926","Directed by Lotte Reiniger • 1926 • Germany
 
Widely believed to be the very first animated feature film, Lotte Reiniger’s astonishing 1926 adaptation of tales from “One Thousand and One Nights” uses striking silhouette cutouts and gorgeous color tinting to bring to life the story of an Arabian prince who is whisked away on a flying horse to an enchanted land where he tangles with an evil sorcerer, rescues a princess, and joins forces with none other than Aladdin. Painstakingly composed frame by frame by Reiniger over the course of three years, this landmark work is both an enchanting storybook saga and a retina-delighting triumph of visual imagination."
"Adventures of Zatoichi","https://www.criterionchannel.com/videos/adventures-of-zatoichi","https://vhx.imgix.net/criterionchannelchartersu/assets/f44ddad2-0d15-40d5-a4e3-4248c3af4962.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Kimiyoshi Yasuda","Japan,","1964","ZATOICHI #9
Directed by Kimiyoshi Yasuda • 1964 • Japan

The blind swordsman wanders into a town to celebrate the New Year. There, he befriends a young woman whose father has gone missing; as he tries to help her find him, he becomes entangled in a web of corruption and a series of tragic twists of fate. Returning director Kimiyoshi Yasuda and screenwriter Shozaburo Asai masterfully weave together a variety of narrative threads and tonal registers, all while playfully tweaking the conventions and motifs of the series."
"Adventures on the New Frontier","https://www.criterionchannel.com/adventures-on-the-new-frontier","https://vhx.imgix.net/criterionchannelchartersu/assets/30a14bd6-218a-4888-9bf9-6568b3fb3b97.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Robert Drew","United States,","1961","Directed by Robert Drew • 1961 • United States

Cinéma vérité pioneer Robert Drew&#39;s fascinating documentary Adventures on the New Frontier offers a rare and candid glimpse inside the Oval Office as newly elected President John F. Kennedy goes about his daily work routine as America&#39;s Chief Executive."
